year,state,code,christianity_protestant,christianity_romancatholic,christianity_easternorthodox,christianity_anglican,christianity_other,christianity_all,judaism_orthodox,judaism_conservative,judaism_reform,judaism_other,judaism_all,islam_sunni,islam_shi’a,islam_ibadhi,islam_nationofislam,islam_alawite,islam_ahmadiyya,islam_other,islam_all,buddhism_mahayana,buddhism_theravada,buddhism_other,buddhism_all,zoroastrianism_all,hinduism_all,sikhism_all,shinto_all,baha’i_all,taoism_all,jainism_all,confucianism_all,syncretism_all,animism_all,noreligion_all,otherreligion_all,religion_all,population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent,dual_religion,source_code
1990,Ecuador,ECU,105000,9740000,1600,1300,26800,9874700,0,0,0,1400,1400,0,0,0,0,0,0,0,0,0,0,1200,1200,0,0,0,0,12400,0,0,0,1500,24900,14600,333300,9930700,10264000,0.0102,0.9489,0.0002,0.0001,0.0026,0.9621,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0.0012,0,0,0,0.0001,0.0024,0.0014,0.0325,0.9675,0.9999,0,7
1995,Ecuador,ECU,115000,8863500,0,0,0,8978500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351500,8978500,9330000,0.0123,0.95,0,0,0,0.9623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377,0.9623,1,0,1
2000,Ecuador,ECU,345000,11002020,0,0,130000,11477020,0,0,0,1300,1300,0,0,0,0,0,0,1200,1200,0,0,4422,4422,0,0,0,0,1520,0,0,0,4089,22076,948450,185923,12460077,12646000,0.0273,0.87,0,0,0.0103,0.9076,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0003,0.0003,0,0,0,0,0.0001,0,0,0,0.0003,0.0017,0.075,0.0147,0.9853,0.9999,0,83
2005,Ecuador,ECU,314591,11681990,0,0,140000,12136581,0,0,0,1150,1150,0,0,0,0,0,0,1350,1350,0,0,5941,5941,0,0,0,0,1620,0,0,0,0,25000,1078113,245,13249755,13250000,0.0237,0.8817,0,0,0.0106,0.916,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0004,0.0004,0,0,0,0,0.0001,0,0,0,0,0.0019,0.0814,0,1,1,0,99
2010,Ecuador,ECU,284183,12361961,0,0,184183,12830327,0,0,0,1000,1000,0,0,0,0,0,0,1500,1500,0,0,7460,7460,0,0,0,0,1720,0,0,0,0,35000,1207777,124367,14084784,14209151,0.02,0.87,0,0,0.013,0.903,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0005,0.0005,0,0,0,0,0.0001,0,0,0,0,0.0025,0.085,0.0088,0.9912,1.0001,0,1
1945,Peru,PER,0,6779700,0,0,0,6779700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78125,0,432175,6857825,7290000,0,0.93,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107,0,0.0593,0.9407,1,0,99
1950,Peru,PER,0,7668000,0,0,0,7668000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,101000,7868000,7969000,0,0.9622,0,0,0,0.9622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251,0,0.0127,0.9873,1,0,7
1955,Peru,PER,0,8170818,0,0,0,8170818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000,0,494182,8295818,8790000,0,0.9296,0,0,0,0.9296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142,0,0.0562,0.9438,1,0,2
1960,Peru,PER,0,9561000,0,0,0,9561000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,170000,9761000,9931000,0,0.9627,0,0,0,0.9627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201,0,0.0171,0.9829,0.9999,0,2
1965,Peru,PER,128000,10893650,0,0,0,11021650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445350,11021650,11467000,0.0112,0.95,0,0,0,0.9612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388,0.9612,1,0,15
1970,Peru,PER,190496,12769151,1250,1250,39460,13001607,0,0,0,2500,2500,0,0,0,0,0,0,150,150,0,0,10000,10000,0,0,0,0,6750,0,0,0,1500,80000,16500,73993,13119007,13193000,0.0144,0.9679,0.0001,0.0001,0.003,0.9855,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0.0005,0,0,0,0.0001,0.0061,0.0013,0.0056,0.9944,1.0001,0,7
1975,Peru,PER,150000,14402950,0,0,0,14552950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000,21500,501550,14659450,15161000,0.0099,0.95,0,0,0,0.9599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056,0.0014,0.0331,0.9669,1,0,2
1980,Peru,PER,255500,16357861,1675,1750,431959,17048745,0,0,0,3300,3300,0,0,0,0,0,0,200,200,0,0,3000,3000,0,0,0,0,10000,0,0,0,1500,88500,68557,100198,17223802,17324000,0.0147,0.9442,0.0001,0.0001,0.0249,0.9841,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0,0,0,0,0.0006,0,0,0,0.0001,0.0051,0.004,0.0058,0.9942,1.0001,0,7
1985,Peru,PER,292380,18360700,0,0,350000,19003080,0,0,0,3500,3500,0,0,0,0,0,0,0,0,0,0,3500,3500,0,0,0,0,0,0,0,0,0,80000,75000,326920,19165080,19492000,0.015,0.942,0,0,0.018,0.9749,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0.0041,0.0038,0.0168,0.9832,1,0,2
1990,Peru,PER,852000,20091050,2400,1000,400100,21346550,0,0,0,4500,4500,0,0,0,0,0,0,250,250,0,0,7000,7000,0,0,0,0,7500,0,0,0,7000,89000,85000,22200,21546800,21569000,0.0395,0.9315,0.0001,0,0.0185,0.9897,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0.0003,0,0,0,0.0003,0.0041,0.0039,0.001,0.999,0.9998,0,2
1995,Peru,PER,961000,21805388,2116,833,521550,23290887,0,0,0,3763,3763,0,0,0,0,0,0,232,232,0,0,13121,13121,0,0,0,0,9827,0,0,0,6314,70475,89500,47881,23484119,23532000,0.0408,0.9266,0.0001,0,0.0222,0.9898,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0.0006,0.0006,0,0,0,0,0.0004,0,0,0,0.0003,0.003,0.0038,0.002,0.998,1.0001,0,99
2000,Peru,PER,3002454,20529600,0,666,0,23532720,0,0,0,3027,3027,0,0,0,0,0,0,5600,5600,0,0,8200,8200,0,0,0,0,6500,0,0,0,0,45000,461916,1599037,24062963,25662000,0.117,0.8,0,0,0,0.917,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0002,0.0002,0,0,0.0003,0.0003,0,0,0,0,0.0003,0,0,0,0,0.0018,0.018,0.0623,0.9377,1,0,83
2005,Peru,PER,3059210,23639350,0,0,0,26698560,0,0,0,3000,3000,0,0,0,0,0,0,6200,6200,0,0,8500,8500,0,0,0,0,7570,0,0,0,0,50000,862141,175029,27635971,27811000,0.11,0.85,0,0,0,0.96,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0002,0.0002,0,0,0.0003,0.0003,0,0,0,0,0.0003,0,0,0,0,0.0018,0.031,0.0063,0.9937,1,0,83
2010,Peru,PER,3675330,23904351,0,0,0,27579681,0,0,0,3000,3000,0,0,0,0,0,0,6000,6000,0,0,10200,10200,0,0,0,0,10000,0,0,0,0,50000,1176105,567660,28834986,29402646,0.125,0.813,0,0,0,0.938,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0002,0.0002,0,0,0.0003,0.0003,0,0,0,0,0.0003,0,0,0,0,0.0017,0.04,0.0193,0.9807,0.9999,0,83
1945,Brazil,BRA,1523643,44301367,20578,0,0,45845588,0,0,0,34978,34978,0,0,0,0,0,0,0,0,0,0,114536,114536,0,0,0,0,0,0,0,0,0,0,137118,82780,46132220,46215000,0.033,0.9586,0.0004,0,0,0.992,0,0,0,0.0008,0.0008,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,0,0,0,0,0,0,0,0,0,0,0.003,0.0018,0.9982,1.0001,0,2
1950,Brazil,BRA,1305857,48043880,0,0,0,49349737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76500,76500,0,0,0,0,0,0,0,0,0,0,0,2517763,49426237,51944000,0.0251,0.9249,0,0,0,0.9501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0015,0,0,0,0,0,0,0,0,0,0,0,0.0485,0.9515,1.0001,0,2
1955,Brazil,BRA,1741430,53781428,41156,0,0,55564014,0,0,0,34978,34978,0,0,0,0,0,0,1727,1727,0,0,76286,76286,0,0,0,0,0,0,0,0,0,0,274236,4688759,55951241,60640000,0.0287,0.8869,0.0007,0,0,0.9163,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0,0,0,0,0.0013,0.0013,0,0,0,0,0,0,0,0,0,0,0.0045,0.0773,0.9227,1,0,4
1960,Brazil,BRA,4280870,66529550,125000,0,0,70935420,0,0,0,42500,42500,0,0,0,0,0,0,1800,1800,0,0,125000,125000,0,0,0,0,0,0,0,0,0,0,0,1489280,71104720,72594000,0.059,0.9165,0.0017,0,0,0.9772,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0,0,0,0,0.0017,0.0017,0,0,0,0,0,0,0,0,0,0,0,0.0205,0.9795,1,0,2
1965,Brazil,BRA,2309968,78241640,25000,0,0,80576608,0,0,0,41666,41666,0,0,0,0,0,0,2500,2500,0,0,140000,140000,0,0,0,0,0,0,0,0,0,261849,0,3269377,81022623,84292000,0.0274,0.9282,0.0003,0,0,0.9559,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0,0.0017,0.0017,0,0,0,0,0,0,0,0,0,0.0031,0,0.0388,0.9612,1,0,2
1970,Brazil,BRA,6020237,85690846,54500,22500,2737930,94526013,0,0,0,77500,77500,0,0,0,0,0,0,45000,45000,0,0,156500,156500,0,2500,0,1000,6500,0,0,0,15000,50000,390000,576987,95270013,95847000,0.0628,0.894,0.0006,0.0002,0.0286,0.9862,0,0,0,0.0008,0.0008,0,0,0,0,0,0,0.0005,0.0005,0,0,0.0016,0.0016,0,0,0,0,0.0001,0,0,0,0.0002,0.0005,0.0041,0.006,0.994,1,0,7
1975,Brazil,BRA,6985118,97293175,87250,42250,2368200,106775993,0,0,0,126750,126750,0,0,0,0,0,0,62500,62500,0,0,213250,213250,0,4250,0,500,9250,0,0,0,22500,55000,625000,137007,107894993,108032000,0.0647,0.9006,0.0008,0.0004,0.0219,0.9884,0,0,0,0.0012,0.0012,0,0,0,0,0,0,0.0006,0.0006,0,0,0.002,0.002,0,0,0,0,0.0001,0,0,0,0.0002,0.0005,0.0058,0.0013,0.9987,1.0001,0,7
1980,Brazil,BRA,7950000,108895504,120000,62000,0,117027504,0,0,0,176000,176000,0,0,0,0,0,0,80000,80000,0,0,270000,270000,0,6000,0,0,12000,0,0,0,30000,60000,860000,41496,118521504,118563000,0.0671,0.9185,0.001,0.0005,0,0.987,0,0,0,0.0015,0.0015,0,0,0,0,0,0,0.0007,0.0007,0,0,0.0023,0.0023,0,0.0001,0,0,0.0001,0,0,0,0.0003,0.0005,0.0073,0.0003,0.9997,1.0001,0,7
1985,Brazil,BRA,8269000,120802456,0,0,0,129071456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2906544,129071456,131978000,0.0627,0.9153,0,0,0,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.978,1,0,13
1990,Brazil,BRA,12804925,121812760,135000,0,3280326,138033011,0,0,0,86423,86423,0,0,0,0,0,0,50000,50000,0,0,236403,236403,0,2666,0,2000,10000,0,0,0,32000,106957,694623,5469917,139254083,144724000,0.0885,0.8417,0.0009,0,0.0227,0.9538,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0.0003,0.0003,0,0,0.0016,0.0016,0,0,0,0,0.0001,0,0,0,0.0002,0.0007,0.0048,0.0378,0.9622,0.9999,0,7
1995,Brazil,BRA,21476243,127311548,88750,15625,2513838,151406004,0,0,0,87862,87862,0,0,0,0,0,0,68293,68293,0,0,278083,278083,0,2560,0,2701,9593,0,0,0,34500,181865,995856,2754683,153067317,155822000,0.1378,0.817,0.0006,0.0001,0.0161,0.9717,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0.0004,0.0004,0,0,0.0018,0.0018,0,0,0,0,0.0001,0,0,0,0.0002,0.0012,0.0064,0.0177,0.9823,1.0001,0,100
2000,Brazil,BRA,26197710,117549465,0,0,2700000,146447175,0,0,0,92000,92000,0,0,0,0,0,0,86586,86586,0,0,319764,319764,0,2455,0,105000,9186,0,0,0,37000,3232185,13439085,6344564,163770436,170115000,0.154,0.691,0,0,0.0159,0.8609,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0.0005,0.0005,0,0,0.0019,0.0019,0,0,0,0.0006,0.0001,0,0,0,0.0002,0.019,0.079,0.0373,0.9627,1,0,100
2005,Brazil,BRA,38660132,115619960,0,0,3100000,157380092,0,0,0,99500,99500,0,0,0,0,0,0,60876,60876,0,0,281882,281882,0,4065,0,130475,25408,0,0,0,39508,3809784,14826664,6724746,176658254,183383000,0.2108,0.6305,0,0,0.0169,0.8582,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0.0003,0.0003,0,0,0.0015,0.0015,0,0,0,0.0007,0.0001,0,0,0,0.0002,0.0208,0.0809,0.0367,0.9633,0.9999,0,99
2010,Brazil,BRA,51122554,113690456,0,0,3500000,168313010,0,0,0,107000,107000,0,0,0,0,0,0,35167,35167,0,0,244000,244000,0,5675,0,155951,41630,0,0,0,42016,4387383,16214243,1209725,189546075,190755800,0.268,0.596,0,0,0.0183,0.8823,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0.0002,0.0002,0,0,0.0013,0.0013,0,0,0,0.0008,0.0002,0,0,0,0.0002,0.023,0.085,0.0063,0.9937,0.9999,0,100
1945,Bolivia,BOL,57000,2501000,0,0,0,2558000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292000,2558000,2850000,0.02,0.8775,0,0,0,0.8975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1025,0.8975,1,0,99
1950,Bolivia,BOL,54280,2550700,0,0,0,2604980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109020,2604980,2714000,0.02,0.9398,0,0,0,0.9598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402,0.9598,1,0,7
1955,Bolivia,BOL,15500,3077659,0,0,0,3093159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6841,3093159,3100000,0.005,0.9928,0,0,0,0.9978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0.9978,1,0,15
1960,Bolivia,BOL,16755,3149940,0,0,0,3166695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184305,3166695,3351000,0.005,0.94,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0.945,1,0,18
1965,Bolivia,BOL,18740,3523120,0,0,0,3541860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206140,3541860,3748000,0.005,0.94,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0.945,1,0,20
1970,Bolivia,BOL,21060,3980340,0,0,0,4001400,0,0,0,998,998,0,0,0,0,0,0,250,250,0,0,1998,1998,0,0,0,0,46964,0,0,0,50,34959,27483,97898,4114102,4212000,0.005,0.945,0,0,0,0.95,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0005,0.0005,0,0,0,0,0.0112,0,0,0,0,0.0083,0.0065,0.0232,0.9768,1,0,7
1975,Bolivia,BOL,149530,4521050,1300,130,0,4672010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,51000,8990,4750010,4759000,0.0314,0.95,0.0003,0,0,0.9817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057,0.0107,0.0019,0.9981,1,0,2
1980,Bolivia,BOL,278000,5011990,2600,260,0,5292850,0,0,0,1800,1800,0,0,0,0,0,0,650,650,0,0,4000,4000,0,0,0,0,0,0,0,0,0,17000,12000,26700,5328300,5355000,0.0519,0.9359,0.0005,0,0,0.9884,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0007,0.0007,0,0,0,0,0,0,0,0,0,0.0032,0.0022,0.005,0.995,0.9999,0,7
1985,Bolivia,BOL,305000,5423400,0,0,0,5728400,0,0,0,600,600,0,0,0,0,0,0,0,0,0,0,2800,2800,0,0,0,0,0,0,0,0,0,25900,35000,102300,5792700,5895000,0.0517,0.92,0,0,0,0.9717,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0.0044,0.0059,0.0174,0.9826,1,0,2
1990,Bolivia,BOL,400000,5840000,2900,1000,28400,6272300,0,0,0,2600,2600,0,0,0,0,0,0,1100,1100,0,0,4500,4500,0,0,0,0,200000,0,0,0,320,30000,40000,22180,6550820,6573000,0.0609,0.8885,0.0004,0.0002,0.0043,0.9543,0,0,0,0.0004,0.0004,0,0,0,0,0,0,0.0002,0.0002,0,0,0.0007,0.0007,0,0,0,0,0.0304,0,0,0,0,0.0046,0.0061,0.0034,0.9966,1.0001,0,2
1995,Bolivia,BOL,450000,6820880,0,0,30000,7300880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,45000,33120,7380880,7414000,0.0607,0.92,0,0,0.004,0.9847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0.0061,0.0045,0.9955,1,0,1
2000,Bolivia,BOL,1241021,6496620,0,0,105000,7842641,0,0,0,350,350,0,0,0,0,0,0,1666,1666,0,0,5329,5329,0,0,0,0,0,0,0,0,0,0,208225,270789,8058211,8329000,0.149,0.78,0,0,0.0126,0.9416,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0,0,0.0006,0.0006,0,0,0,0,0,0,0,0,0,0,0.025,0.0325,0.9675,0.9999,0,83
2005,Bolivia,BOL,581350,8390030,4400,1500,55808,9033088,0,0,0,350,350,0,0,0,0,0,0,1836,1836,0,0,6827,6827,0,0,0,0,0,0,0,0,1377,35879,282810,64833,9362167,9427000,0.0617,0.89,0.0005,0.0002,0.0059,0.9582,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0,0,0.0007,0.0007,0,0,0,0,0,0,0,0,0.0001,0.0038,0.03,0.0069,0.9931,0.9999,0,1
2010,Bolivia,BOL,1373600,8340600,4400,1500,0,9720100,0,0,0,350,350,0,0,0,0,0,0,1031,1031,0,0,3836,3836,0,0,0,0,0,0,0,0,773,162419,412492,11314,10301001,10312315,0.1332,0.8088,0.0004,0.0001,0,0.9426,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0004,0.0004,0,0,0,0,0,0,0,0,0.0001,0.0158,0.04,0.0011,0.9989,1.0001,0,84
1945,Paraguay,PAR,21187,1100000,0,0,0,1121187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128813,1121187,1250000,0.0169,0.88,0,0,0,0.8969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1031,0.8969,1,0,7
1950,Paraguay,PAR,26070,1234000,0,0,0,1260070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110930,1260070,1371000,0.019,0.9001,0,0,0,0.9191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809,0.9191,1,0,7
1955,Paraguay,PAR,32080,1507711,0,0,0,1539791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147209,1539791,1687000,0.019,0.8937,0,0,0,0.9127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873,0.9127,1,0,15
1960,Paraguay,PAR,28540,1711115,0,0,0,1739655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102345,1739655,1842000,0.0155,0.9289,0,0,0,0.9444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556,0.9444,1,0,14
1965,Paraguay,PAR,25000,1914520,0,0,0,1939520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141480,1939520,2081000,0.012,0.92,0,0,0,0.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0.932,1,0,15
1970,Paraguay,PAR,47000,2185000,0,0,0,2232000,0,0,0,1135,1135,0,0,0,0,0,0,0,0,0,0,1892,1892,0,0,0,0,1988,0,0,0,0,30550,12126,70309,2279691,2350000,0.02,0.9298,0,0,0,0.9498,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0.0008,0,0,0,0,0.013,0.0052,0.0299,0.9701,1,0,2
1975,Paraguay,PAR,55050,2526050,2750,2050,0,2585900,0,0,0,1367,1367,0,0,0,0,0,0,0,0,0,0,1946,1946,0,0,0,0,2444,0,0,0,0,23275,12213,31855,2627145,2659000,0.0207,0.95,0.001,0.0008,0,0.9725,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0,0.0007,0.0007,0,0,0,0,0.0009,0,0,0,0,0.0088,0.0046,0.012,0.988,1,0,2
1980,Paraguay,PAR,63100,2958300,5500,4100,2100,3033100,0,0,0,1600,1600,0,0,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,2900,0,0,0,0,16000,12300,46100,3067900,3114000,0.0203,0.95,0.0018,0.0013,0.0007,0.974,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0,0.0006,0.0006,0,0,0,0,0.0009,0,0,0,0,0.0051,0.0039,0.0148,0.9852,0.9998,0,7
1985,Paraguay,PAR,67000,3368000,0,0,0,3435000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,22000,0,150000,3459000,3609000,0.0186,0.9332,0,0,0,0.9518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0,0,0,0.0061,0,0.0416,0.9584,1.0001,0,13
1990,Paraguay,PAR,83446,3835000,1800,12500,209800,4142546,0,0,0,2400,2400,0,0,0,0,0,0,0,0,0,0,6200,6200,0,0,0,0,6800,0,0,0,0,29500,20000,11554,4207446,4219000,0.0198,0.909,0.0004,0.003,0.0497,0.9819,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0,0,0,0,0.0015,0.0015,0,0,0,0,0.0016,0,0,0,0,0.007,0.0047,0.0027,0.9973,1,0,7
1995,Paraguay,PAR,103928,4345200,0,0,175000,4624128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203872,4624128,4828000,0.0215,0.9,0,0,0.0362,0.9578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422,0.9578,1,0,1
2000,Paraguay,PAR,274800,4924416,1000,8800,120000,5329016,0,0,0,1365,1365,0,0,0,0,0,0,1000,1000,0,0,5524,5524,0,0,0,0,4505,0,0,0,0,14971,137400,2219,5493781,5496000,0.05,0.896,0.0002,0.0016,0.0218,0.9696,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0002,0.0002,0,0,0.001,0.001,0,0,0,0,0.0008,0,0,0,0,0.0027,0.025,0.0004,0.9996,0.9999,0,83
2005,Paraguay,PAR,442425,4771111,3353,6000,145000,5367889,0,0,0,1500,1500,0,0,0,0,0,0,1270,1270,0,0,4516,4516,0,0,0,0,3245,0,0,0,0,39016,188768,292796,5606204,5899000,0.075,0.8088,0.0006,0.001,0.0246,0.91,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0.0002,0.0002,0,0,0.0008,0.0008,0,0,0,0,0.0006,0,0,0,0,0.0066,0.032,0.0496,0.9504,1.0001,0,1
2010,Paraguay,PAR,258212,5680657,0,6455,193659,6138983,0,0,0,3208,3208,0,0,0,0,0,0,3873,3873,0,0,14783,14783,0,0,0,0,5600,0,0,0,0,29405,193658,65782,6389510,6455292,0.04,0.88,0,0.001,0.03,0.951,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0.0006,0.0006,0,0,0.0023,0.0023,0,0,0,0,0.0009,0,0,0,0,0.0046,0.03,0.0102,0.9898,1.0001,0,84
1945,Chile,CHL,177500,4917092,0,0,0,5094592,0,0,0,4000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,391408,5148592,5540000,0.032,0.8876,0,0,0,0.9196,0,0,0,0.0007,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.0707,0.9293,1,0,15
