season,week_num,day_of_week,gametime_local,home_team,away_team,home_score,away_score,OT_flag,arrests,division_game
2012,11,Sunday,12:00:00 PM,Houston,Jacksonville,43,37,OT,1,y
2012,15,Sunday,12:00:00 PM,Houston,Indianapolis,29,17,,1,y
2012,16,Sunday,12:00:00 PM,Houston,Minnesota,6,23,,3,n
2013,2,Sunday,12:00:00 PM,Houston,Tennessee,30,24,OT,2,y
2013,4,Sunday,12:00:00 PM,Houston,Seattle,20,23,OT,0,n
2013,6,Sunday,12:00:00 PM,Houston,St. Louis,13,38,,1,n
2013,9,Sunday,7:30:00 PM,Houston,Indianapolis,24,27,,1,y
2013,11,Sunday,12:00:00 PM,Houston,Oakland,23,28,,2,n
2013,12,Sunday,12:00:00 PM,Houston,Jacksonville,6,13,,1,y
2013,13,Sunday,12:00:00 PM,Houston,New England,31,34,,0,n
2013,16,Sunday,12:00:00 PM,Houston,Denver,13,37,,0,n
2014,1,Sunday,12:00:00 PM,Houston,Washington,17,6,,1,n
2014,4,Sunday,12:00:00 PM,Houston,Buffalo,23,17,,0,n
2014,6,Thursday,7:30:00 PM,Houston,Indianapolis,28,33,,0,y
2014,9,Sunday,12:00:00 PM,Houston,Philadelphia,21,31,,0,n
2014,12,Sunday,12:00:00 PM,Houston,Cincinnati,13,22,,1,n
2014,13,Sunday,12:00:00 PM,Houston,Tennessee,45,21,,0,y
2014,16,Sunday,12:00:00 PM,Houston,Baltimore,25,13,,0,n
2014,17,Sunday,12:00:00 PM,Houston,Jacksonville,23,17,,0,y
2015,1,Sunday,12:00:00 PM,Houston,Kansas City,20,27,,1,n
2015,3,Sunday,12:00:00 PM,Houston,Tampa Bay,19,9,,1,n
2015,5,Thursday,7:25:00 PM,Houston,Indianapolis,20,27,,0,y
2015,8,Sunday,12:00:00 PM,Houston,Tennessee,20,6,,0,y
2015,11,Sunday,12:00:00 PM,Houston,New York Jets,24,17,,1,n
2015,12,Sunday,12:00:00 PM,Houston,New Orleans,24,6,,1,n
2015,14,Sunday,7:30:00 PM,Houston,New England,6,27,,0,n
2015,17,Sunday,12:00:00 PM,Houston,Jacksonville,30,6,,0,y
2011,2,Sunday,1:00:00 PM,Indianapolis,Cleveland,19,27,,2,n
2011,3,Sunday,8:20:00 PM,Indianapolis,Pittsburgh,20,23,,11,n
2011,5,Sunday,1:00:00 PM,Indianapolis,Kansas City,24,28,,0,n
2011,9,Sunday,1:00:00 PM,Indianapolis,Atlanta,7,31,,3,n
2011,10,Sunday,1:00:00 PM,Indianapolis,Jacksonville,3,17,,0,y
2011,12,Sunday,1:00:00 PM,Indianapolis,Carolina,19,27,,7,n
2011,15,Sunday,1:00:00 PM,Indianapolis,Tennessee,27,13,,0,y
2011,16,Thursday,8:20:00 PM,Indianapolis,Houston,19,16,,2,y
2012,2,Sunday,1:00:00 PM,Indianapolis,Minnesota,23,20,,1,n
2012,3,Sunday,1:00:00 PM,Indianapolis,Jacksonville,17,22,,0,y
2012,5,Sunday,1:00:00 PM,Indianapolis,Green Bay,30,27,,3,n
2012,7,Sunday,1:00:00 PM,Indianapolis,Cleveland,17,13,,2,n
2012,9,Sunday,1:00:00 PM,Indianapolis,Miami,23,20,,4,n
2012,12,Sunday,1:00:00 PM,Indianapolis,Buffalo,20,13,,5,n
2012,14,Sunday,1:00:00 PM,Indianapolis,Tennessee,27,23,,1,y
2012,17,Sunday,1:00:00 PM,Indianapolis,Houston,28,16,,0,y
2013,1,Sunday,1:00:00 PM,Indianapolis,Oakland,21,17,,0,n
2013,2,Sunday,1:00:00 PM,Indianapolis,Miami,20,24,,4,n
2013,5,Sunday,1:00:00 PM,Indianapolis,Seattle,34,28,,2,n
2013,7,Sunday,8:30:00 PM,Indianapolis,Denver,39,33,,10,n
2013,10,Sunday,1:00:00 PM,Indianapolis,St. Louis,8,38,,1,n
2013,13,Sunday,1:00:00 PM,Indianapolis,Tennessee,22,14,,3,y
2013,15,Sunday,1:00:00 PM,Indianapolis,Houston,25,3,,0,y
2013,17,Sunday,1:00:00 PM,Indianapolis,Jacksonville,30,10,,2,y
2014,2,Monday,8:30:00 PM,Indianapolis,Philadelphia,27,30,,4,n
2014,4,Sunday,1:00:00 PM,Indianapolis,Tennessee,41,17,,0,y
2014,5,Sunday,1:00:00 PM,Indianapolis,Baltimore,20,13,,0,n
2014,7,Sunday,1:00:00 PM,Indianapolis,Cincinnati,27,0,,5,n
2014,11,Sunday,8:30:00 PM,Indianapolis,New England,20,42,,3,n
2014,12,Sunday,1:00:00 PM,Indianapolis,Jacksonville,23,3,,1,y
2014,13,Sunday,1:00:00 PM,Indianapolis,Washington,49,27,,4,n
2014,15,Sunday,1:00:00 PM,Indianapolis,Houston,17,10,,0,y
2015,2,Monday,8:30:00 PM,Indianapolis,New York Jets,7,20,,3,n
2015,4,Sunday,1:00:00 PM,Indianapolis,Jacksonville,16,13,OT,0,y
2015,6,Sunday,8:30:00 PM,Indianapolis,New England,27,34,,2,n
2015,7,Sunday,1:00:00 PM,Indianapolis,New Orleans,21,27,,0,n
2015,9,Sunday,4:25:00 PM,Indianapolis,Denver,27,24,,2,n
2015,12,Sunday,1:00:00 PM,Indianapolis,Tampa Bay,25,12,,0,n
2015,15,Sunday,1:00:00 PM,Indianapolis,Houston,10,16,,3,y
2015,17,Sunday,1:00:00 PM,Indianapolis,Tennessee,30,24,,1,y
2011,1,Sunday,1:00:00 PM,Jacksonville,Tennessee,16,14,,4,y
2011,4,Sunday,1:00:00 PM,Jacksonville,New Orleans,10,23,,4,n
2011,5,Sunday,1:00:00 PM,Jacksonville,Cincinnati,20,30,,2,n
2011,7,Monday,8:30:00 PM,Jacksonville,Baltimore,12,7,,3,n
2011,12,Sunday,1:00:00 PM,Jacksonville,Houston,13,20,,1,y
2011,13,Monday,8:30:00 PM,Jacksonville,San Diego,14,38,,6,n
2011,14,Sunday,1:00:00 PM,Jacksonville,Tampa Bay,41,14,,3,n
2011,17,Sunday,1:00:00 PM,Jacksonville,Indianapolis,19,13,,1,y
2012,2,Sunday,1:00:00 PM,Jacksonville,Houston,7,27,,5,y
2012,4,Sunday,4:05:00 PM,Jacksonville,Cincinnati,10,27,,1,n
2012,5,Sunday,4:05:00 PM,Jacksonville,Chicago,3,41,,2,n
2012,9,Sunday,1:00:00 PM,Jacksonville,Detroit,14,31,,0,n
2012,10,Thursday,8:20:00 PM,Jacksonville,Indianapolis,10,27,,0,y
2012,12,Sunday,1:00:00 PM,Jacksonville,Tennessee,24,19,,0,y
2012,14,Sunday,1:00:00 PM,Jacksonville,New York Jets,10,17,,1,n
2012,16,Sunday,1:00:00 PM,Jacksonville,New England,16,23,,1,n
2013,1,Sunday,1:00:00 PM,Jacksonville,Kansas City,2,28,,3,n
2013,4,Sunday,1:00:00 PM,Jacksonville,Indianapolis,3,37,,0,y
2013,7,Sunday,1:00:00 PM,Jacksonville,San Diego,6,24,,2,n
2013,11,Sunday,1:00:00 PM,Jacksonville,Arizona,14,27,,3,n
2013,14,Thursday,8:25:00 PM,Jacksonville,Houston,27,20,,3,y
2013,15,Sunday,1:00:00 PM,Jacksonville,Buffalo,20,27,,0,n
2013,16,Sunday,1:00:00 PM,Jacksonville,Tennessee,16,20,,1,y
2014,3,Sunday,1:00:00 PM,Jacksonville,Indianapolis,17,44,,3,y
2014,5,Sunday,1:00:00 PM,Jacksonville,Pittsburgh,9,17,,3,n
2014,7,Sunday,1:00:00 PM,Jacksonville,Cleveland,24,6,,0,n
2014,8,Sunday,1:00:00 PM,Jacksonville,Miami,13,27,,3,n
2014,13,Sunday,1:00:00 PM,Jacksonville,New York Giants,25,24,,0,n
2014,14,Sunday,1:00:00 PM,Jacksonville,Houston,13,27,,0,y
2014,16,Thursday,8:30:00 PM,Jacksonville,Tennessee,21,13,,1,y
2015,1,Sunday,1:00:00 PM,Jacksonville,Carolina,9,20,,1,n
2015,2,Sunday,4:05:00 PM,Jacksonville,Miami,23,20,,2,n
2015,6,Sunday,1:00:00 PM,Jacksonville,Houston,20,31,,0,y
2015,11,Thursday,8:25:00 PM,Jacksonville,Tennessee,19,13,,1,y
2015,12,Sunday,1:00:00 PM,Jacksonville,San Diego,25,31,,0,n
2015,14,Sunday,1:00:00 PM,Jacksonville,Indianapolis,51,16,,2,y
2015,15,Sunday,1:00:00 PM,Jacksonville,Atlanta,17,23,,2,n
2011,1,Sunday,12:00:00 PM,Kansas City,Buffalo,7,41,,0,n
2011,4,Sunday,12:00:00 PM,Kansas City,Minnesota,22,17,,1,n
2011,8,Monday,7:30:00 PM,Kansas City,San Diego,23,20,OT,2,y
2011,9,Sunday,12:00:00 PM,Kansas City,Miami,3,31,,3,n
2011,10,Sunday,12:00:00 PM,Kansas City,Denver,10,17,,1,y
2011,12,Sunday,7:20:00 PM,Kansas City,Pittsburgh,9,13,,0,n
2011,15,Sunday,12:00:00 PM,Kansas City,Green Bay,19,14,,2,n
2011,16,Saturday,12:00:00 PM,Kansas City,Oakland,13,16,OT,2,y
2012,1,Sunday,12:00:00 PM,Kansas City,Atlanta,24,40,,0,n
2012,4,Sunday,12:00:00 PM,Kansas City,San Diego,20,37,,0,y
2012,5,Sunday,12:00:00 PM,Kansas City,Baltimore,6,9,,0,n
2012,8,Sunday,3:05:00 PM,Kansas City,Oakland,16,26,,4,y
2012,11,Sunday,12:00:00 PM,Kansas City,Cincinnati,6,28,,0,n
2012,12,Sunday,12:00:00 PM,Kansas City,Denver,9,17,,1,y
2012,13,Sunday,12:00:00 PM,Kansas City,Miami,27,21,,1,n
2012,16,Sunday,12:00:00 PM,Kansas City,Indianapolis,13,20,,0,n
2013,2,Sunday,12:00:00 PM,Kansas City,Dallas,17,16,,4,n
2013,4,Sunday,12:00:00 PM,Kansas City,New York Giants,31,7,,4,n
2013,6,Sunday,12:00:00 PM,Kansas City,Oakland,24,7,,0,y
2013,7,Sunday,3:25:00 PM,Kansas City,Houston,17,16,,2,n
2013,8,Sunday,12:00:00 PM,Kansas City,Cleveland,23,17,,3,n
2013,12,Sunday,12:00:00 PM,Kansas City,San Diego,38,41,,4,y
2013,13,Sunday,3:25:00 PM,Kansas City,Denver,28,35,,4,y
2013,16,Sunday,12:00:00 PM,Kansas City,Indianapolis,7,23,,0,n
2014,1,Sunday,12:00:00 PM,Kansas City,Tennessee,10,26,,1,n
2014,4,Monday,7:30:00 PM,Kansas City,New England,41,14,,5,n
2014,8,Sunday,12:00:00 PM,Kansas City,St. Louis,34,7,,2,n
2014,9,Sunday,12:00:00 PM,Kansas City,New York Jets,24,10,,1,n
2014,11,Sunday,12:00:00 PM,Kansas City,Seattle,24,20,,2,n
2014,13,Sunday,7:30:00 PM,Kansas City,Denver,16,29,,5,y
2014,15,Sunday,12:00:00 PM,Kansas City,Oakland,31,13,,8,y
2014,17,Sunday,12:00:00 PM,Kansas City,San Diego,19,7,,3,y
2015,2,Thursday,7:30:00 PM,Kansas City,Denver,24,31,,2,y
2015,5,Sunday,12:00:00 PM,Kansas City,Chicago,17,18,,0,n
2015,7,Sunday,12:00:00 PM,Kansas City,Pittsburgh,23,13,,1,n
2015,12,Sunday,12:00:00 PM,Kansas City,Buffalo,30,22,,0,n
2015,14,Sunday,12:00:00 PM,Kansas City,San Diego,10,3,,1,y
2015,16,Sunday,12:00:00 PM,Kansas City,Cleveland,17,13,,0,n
2015,17,Sunday,3:25:00 PM,Kansas City,Oakland,23,17,,2,y
2012,2,Sunday,1:02:00 PM,Miami,Oakland,35,13,,1,n
2012,3,Sunday,1:00:00 PM,Miami,New York Jets,20,23,,4,y
2012,6,Sunday,1:00:00 PM,Miami,St. Louis,17,14,,0,n
2012,10,Sunday,1:00:00 PM,Miami,Tennessee,3,37,,3,n
2012,12,Sunday,1:00:00 PM,Miami,Seattle,24,21,,0,n
2012,13,Sunday,1:00:00 PM,Miami,New England,16,23,,4,y
2012,15,Sunday,1:00:00 PM,Miami,Jacksonville,24,3,,2,n
2012,16,Sunday,1:00:00 PM,Miami,Buffalo,24,10,,5,y
2013,3,Sunday,4:05:00 PM,Miami,Atlanta,27,23,,3,n
2013,5,Sunday,1:00:00 PM,Miami,Baltimore,23,26,,0,n
2013,7,Sunday,1:00:00 PM,Miami,Buffalo,21,23,,0,y
2013,9,Thursday,8:25:00 PM,Miami,Cincinnati,22,20,OT,0,n
2013,11,Sunday,4:05:00 PM,Miami,San Diego,20,16,,4,n
2013,12,Sunday,1:00:00 PM,Miami,Carolina,16,20,,3,n
2013,15,Sunday,1:00:00 PM,Miami,New England,24,20,,1,y
2013,17,Sunday,1:00:00 PM,Miami,New York Jets,7,20,,3,y
2014,1,Sunday,1:00:00 PM,Miami,New England,33,20,,2,y
2014,3,Sunday,4:25:00 PM,Miami,Kansas City,14,34,,4,n
2014,6,Sunday,1:00:00 PM,Miami,Green Bay,24,27,,4,n
2014,9,Sunday,1:00:00 PM,Miami,San Diego,37,0,,5,n
2014,11,Thursday,8:25:00 PM,Miami,Buffalo,22,9,,4,y
2014,14,Sunday,1:00:00 PM,Miami,Baltimore,13,28,,1,n
2014,16,Sunday,1:00:00 PM,Miami,Minnesota,37,35,,2,n
2014,17,Sunday,1:00:00 PM,Miami,New York Jets,24,37,,7,y
2015,3,Sunday,4:25:00 PM,Miami,Buffalo,14,41,,5,y
2015,7,Sunday,1:00:00 PM,Miami,Houston,44,26,,1,n
2015,11,Sunday,1:00:00 PM,Miami,Dallas,14,24,,1,n
2015,13,Sunday,1:00:00 PM,Miami,Baltimore,15,13,,2,n
2015,14,Monday,8:30:00 PM,Miami,New York Giants,24,31,,2,n
2015,16,Sunday,1:00:00 PM,Miami,Indianapolis,12,18,,0,n
2015,17,Sunday,1:00:00 PM,Miami,New England,20,10,,1,y
2011,2,Sunday,4:15:00 PM,New England,San Diego,35,21,,4,n
2011,5,Sunday,4:15:00 PM,New England,New York Jets,30,21,,6,y
2011,6,Sunday,4:15:00 PM,New England,Dallas,20,16,,7,n
2011,9,Sunday,4:15:00 PM,New England,New York Giants,20,24,,2,n
2011,11,Monday,8:30:00 PM,New England,Kansas City,34,3,,12,n
2011,13,Sunday,1:00:00 PM,New England,Indianapolis,31,24,,6,n
2011,16,Saturday,1:00:00 PM,New England,Miami,27,24,,3,y
2011,17,Sunday,1:00:00 PM,New England,Buffalo,49,21,,1,y
2012,2,Sunday,1:00:00 PM,New England,Arizona,18,20,,9,n
2012,5,Sunday,4:25:00 PM,New England,Denver,31,21,,6,n
2012,7,Sunday,4:25:00 PM,New England,New York Jets,29,26,OT,4,y
2012,10,Sunday,1:00:00 PM,New England,Buffalo,37,31,,5,y
2012,11,Sunday,4:25:00 PM,New England,Indianapolis,59,24,,3,n
2012,14,Monday,8:30:00 PM,New England,Houston,42,14,,7,n
2012,15,Sunday,8:20:00 PM,New England,San Francisco,34,41,,7,n
2012,17,Sunday,4:25:00 PM,New England,Miami,28,0,,2,y
2013,2,Thursday,8:25:00 PM,New England,New York Jets,13,10,,14,y
2013,3,Sunday,1:00:00 PM,New England,Tampa Bay,23,3,,1,n
2013,6,Sunday,4:25:00 PM,New England,New Orleans,30,27,,6,n
2013,8,Sunday,1:00:00 PM,New England,Miami,27,17,,1,y
2013,9,Sunday,4:25:00 PM,New England,Pittsburgh,55,31,,2,n
2013,12,Sunday,8:30:00 PM,New England,Denver,34,31,OT,4,n
2013,14,Sunday,1:00:00 PM,New England,Cleveland,27,26,,5,n
2013,17,Sunday,4:25:00 PM,New England,Buffalo,34,20,,4,y
2014,3,Sunday,1:00:00 PM,New England,Oakland,16,9,,7,n
2014,5,Sunday,8:30:00 PM,New England,Cincinnati,43,17,,7,n
2014,7,Thursday,8:30:00 PM,New England,New York Jets,27,25,,7,y
2014,8,Sunday,1:00:00 PM,New England,Chicago,51,23,,6,n
2014,9,Sunday,4:25:00 PM,New England,Denver,43,21,,1,n
2014,12,Sunday,1:00:00 PM,New England,Detroit,34,9,,2,n
2014,15,Sunday,1:00:00 PM,New England,Miami,41,13,,6,y
2014,17,Sunday,1:00:00 PM,New England,Buffalo,9,17,,2,y
2015,1,Thursday,8:30:00 PM,New England,Pittsburgh,28,21,,4,n
2015,3,Sunday,1:00:00 PM,New England,Jacksonville,51,17,,0,n
2015,7,Sunday,1:00:00 PM,New England,New York Jets,30,23,,3,y
2015,8,Thursday,8:25:00 PM,New England,Miami,36,7,,6,y
2015,9,Sunday,1:00:00 PM,New England,Washington,27,10,,2,n
2015,11,Monday,8:30:00 PM,New England,Buffalo,20,13,,9,y
2015,13,Sunday,4:25:00 PM,New England,Philadelphia,28,35,,3,n
2015,15,Sunday,1:00:00 PM,New England,Tennessee,33,16,,2,n
2011,2,Monday,8:30:00 PM,New York Giants,St. Louis,28,16,,18,n
2011,5,Sunday,1:00:00 PM,New York Giants,Seattle,25,36,,15,n
2011,6,Sunday,1:00:00 PM,New York Giants,Buffalo,27,24,,19,n
2011,8,Sunday,1:00:00 PM,New York Giants,Miami,20,17,,23,n
2011,11,Sunday,8:20:00 PM,New York Giants,Philadelphia,10,17,,26,y
2011,13,Sunday,4:15:00 PM,New York Giants,Green Bay,35,38,,35,n
2011,15,Sunday,1:00:00 PM,New York Giants,Washington,10,23,,31,y
2011,17,Sunday,8:20:00 PM,New York Giants,Dallas,31,14,,21,y
2012,1,Wednesday,8:20:00 PM,New York Giants,Dallas,17,24,,39,y
2012,2,Sunday,1:00:00 PM,New York Giants,Tampa Bay,41,34,,6,n
2012,5,Sunday,1:00:00 PM,New York Giants,Cleveland,41,27,,12,n
2012,7,Sunday,1:00:00 PM,New York Giants,Washington,27,23,,16,y
2012,9,Sunday,4:25:00 PM,New York Giants,Pittsburgh,20,24,,20,n
2012,12,Sunday,8:20:00 PM,New York Giants,Green Bay,38,10,,23,n
2012,14,Sunday,4:25:00 PM,New York Giants,New Orleans,52,27,,14,n
2012,17,Sunday,1:00:00 PM,New York Giants,Philadelphia,42,7,,15,y
2013,2,Sunday,4:25:00 PM,New York Giants,Denver,23,41,,21,n
2013,5,Sunday,1:00:00 PM,New York Giants,Philadelphia,21,36,,12,y
2013,7,Monday,8:40:00 PM,New York Giants,Minnesota,23,7,,19,n
2013,10,Sunday,1:00:00 PM,New York Giants,Oakland,24,20,,29,n
2013,11,Sunday,4:25:00 PM,New York Giants,Green Bay,27,13,,16,n
2013,12,Sunday,4:25:00 PM,New York Giants,Dallas,21,24,,46,y
2013,15,Sunday,1:00:00 PM,New York Giants,Seattle,0,23,,29,n
2013,17,Sunday,1:00:00 PM,New York Giants,Washington,20,6,,10,y
2014,2,Sunday,1:00:00 PM,New York Giants,Arizona,14,25,,16,n
2014,3,Sunday,1:00:00 PM,New York Giants,Houston,30,17,,22,n
2014,5,Sunday,1:00:00 PM,New York Giants,Atlanta,30,20,,24,n
2014,9,Monday,8:30:00 PM,New York Giants,Indianapolis,24,40,,20,n
2014,11,Sunday,1:00:00 PM,New York Giants,San Francisco,10,16,,23,n
2014,12,Sunday,8:30:00 PM,New York Giants,Dallas,28,31,,33,y
2014,15,Sunday,1:00:00 PM,New York Giants,Washington,24,13,,9,y
2014,17,Sunday,1:00:00 PM,New York Giants,Philadelphia,26,34,,28,y
2015,2,Sunday,1:00:00 PM,New York Giants,Atlanta,20,24,,18,n
2015,3,Thursday,8:25:00 PM,New York Giants,Washington,32,21,,24,y
2015,5,Sunday,8:30:00 PM,New York Giants,San Francisco,30,27,,26,n
2015,7,Sunday,4:25:00 PM,New York Giants,Dallas,27,20,,35,y
2015,10,Sunday,4:25:00 PM,New York Giants,New England,26,27,,22,n
2015,13,Sunday,1:00:00 PM,New York Giants,New York Jets,20,23,OT,39,n
2015,15,Sunday,1:00:00 PM,New York Giants,Carolina,35,38,,31,n
2015,17,Sunday,1:00:00 PM,New York Giants,Philadelphia,30,35,,14,y
2011,1,Sunday,8:20:00 PM,New York Jets,Dallas,27,24,,34,n
2011,2,Sunday,1:00:00 PM,New York Jets,Jacksonville,32,3,,23,n
2011,6,Monday,8:30:00 PM,New York Jets,Miami,24,6,,28,y
2011,7,Sunday,1:00:00 PM,New York Jets,San Diego,27,21,,20,n
2011,10,Sunday,8:20:00 PM,New York Jets,New England,16,37,,30,y
2011,12,Sunday,1:00:00 PM,New York Jets,Buffalo,28,24,,12,y
2011,14,Sunday,1:00:00 PM,New York Jets,Kansas City,37,10,,14,n
2011,16,Saturday,1:00:00 PM,New York Jets,New York Giants,14,29,,31,n
2012,1,Sunday,1:00:00 PM,New York Jets,Buffalo,48,28,,22,y
2012,4,Sunday,1:00:00 PM,New York Jets,San Francisco,0,34,,18,n
2012,5,Monday,8:30:00 PM,New York Jets,Houston,17,23,,15,n
2012,6,Sunday,1:00:00 PM,New York Jets,Indianapolis,35,9,,10,n
2012,8,Sunday,1:00:00 PM,New York Jets,Miami,9,30,,16,y
2012,12,Thursday,8:20:00 PM,New York Jets,New England,19,49,,38,y
2012,14,Sunday,1:00:00 PM,New York Jets,Arizona,7,6,,11,n
2012,16,Sunday,1:00:00 PM,New York Jets,San Diego,17,27,,18,n
2013,1,Sunday,1:00:00 PM,New York Jets,Tampa Bay,18,17,,17,n
2013,3,Sunday,4:25:00 PM,New York Jets,Buffalo,27,20,,22,y
2013,6,Sunday,1:00:00 PM,New York Jets,Pittsburgh,6,19,,20,n
2013,7,Sunday,1:00:00 PM,New York Jets,New England,30,27,OT,29,y
2013,9,Sunday,1:00:00 PM,New York Jets,New Orleans,26,20,,11,n
2013,13,Sunday,1:00:00 PM,New York Jets,Miami,3,23,,26,y
2013,14,Sunday,1:00:00 PM,New York Jets,Oakland,37,27,,8,n
2013,16,Sunday,1:00:00 PM,New York Jets,Cleveland,24,13,,10,n
2014,1,Sunday,1:00:00 PM,New York Jets,Oakland,19,14,,12,n
2014,3,Monday,8:30:00 PM,New York Jets,Chicago,19,27,,27,n
2014,4,Sunday,1:00:00 PM,New York Jets,Detroit,17,24,,22,n
2014,6,Sunday,1:00:00 PM,New York Jets,Denver,17,31,,18,n
2014,8,Sunday,1:00:00 PM,New York Jets,Buffalo,23,43,,25,y
2014,10,Sunday,1:00:00 PM,New York Jets,Pittsburgh,20,13,,14,n
2014,13,Monday,8:30:00 PM,New York Jets,Miami,13,16,,20,y
2014,16,Sunday,1:00:00 PM,New York Jets,New England,16,17,,28,y
2015,1,Sunday,1:00:00 PM,New York Jets,Cleveland,31,10,,7,n
2015,3,Sunday,1:00:00 PM,New York Jets,Philadelphia,17,24,,26,n
2015,6,Sunday,1:00:00 PM,New York Jets,Washington,34,20,,28,n
2015,9,Sunday,1:00:00 PM,New York Jets,Jacksonville,28,23,,15,n
2015,10,Thursday,8:25:00 PM,New York Jets,Buffalo,17,22,,44,y
2015,12,Sunday,1:00:00 PM,New York Jets,Miami,38,20,,27,y
2015,14,Sunday,1:00:00 PM,New York Jets,Tennessee,30,8,,30,n
2015,16,Sunday,1:00:00 PM,New York Jets,New England,26,20,OT,32,y
2011,3,Sunday,1:05:00 PM,Oakland,New York Jets,34,24,,12,n
2011,4,Sunday,1:15:00 PM,Oakland,New England,19,31,,15,n
2011,6,Sunday,1:05:00 PM,Oakland,Cleveland,24,17,,7,n
2011,7,Sunday,1:05:00 PM,Oakland,Kansas City,0,28,,12,y
2011,9,Sunday,1:05:00 PM,Oakland,Denver,24,38,,28,y
2011,12,Sunday,1:05:00 PM,Oakland,Chicago,25,20,,15,n
2011,15,Sunday,1:05:00 PM,Oakland,Detroit,27,28,,19,n
2011,17,Sunday,1:15:00 PM,Oakland,San Diego,26,38,,19,y
2012,1,Monday,7:15:00 PM,Oakland,San Diego,14,22,,17,y
2012,3,Sunday,1:25:00 PM,Oakland,Pittsburgh,34,31,,25,n
2012,7,Sunday,1:25:00 PM,Oakland,Jacksonville,26,23,OT,16,n
2012,9,Sunday,1:05:00 PM,Oakland,Tampa Bay,32,42,,17,n
2012,11,Sunday,1:05:00 PM,Oakland,New Orleans,17,38,,19,n
2012,13,Sunday,1:25:00 PM,Oakland,Cleveland,17,20,,7,n
2012,14,Thursday,5:20:00 PM,Oakland,Denver,13,26,,24,y
2012,15,Sunday,1:25:00 PM,Oakland,Kansas City,0,15,,8,y
2013,2,Sunday,1:25:00 PM,Oakland,Jacksonville,19,9,,10,n
2013,4,Sunday,1:25:00 PM,Oakland,Washington,14,24,,15,n
2013,5,Sunday,8:35:00 PM,Oakland,San Diego,27,17,,20,y
2013,8,Sunday,1:05:00 PM,Oakland,Pittsburgh,21,18,,14,n
2013,9,Sunday,1:05:00 PM,Oakland,Philadelphia,20,49,,13,n
2013,12,Sunday,1:05:00 PM,Oakland,Tennessee,19,23,,20,n
2013,15,Sunday,1:05:00 PM,Oakland,Kansas City,31,56,,21,y
2013,17,Sunday,1:25:00 PM,Oakland,Denver,14,34,,10,y
2014,2,Sunday,1:25:00 PM,Oakland,Houston,14,30,,18,n
2014,6,Sunday,1:05:00 PM,Oakland,San Diego,28,31,,30,y
2014,7,Sunday,1:25:00 PM,Oakland,Arizona,13,24,,25,n
2014,14,Sunday,1:25:00 PM,Oakland,San Francisco,24,13,,49,n
2014,16,Sunday,1:25:00 PM,Oakland,Buffalo,26,24,,21,n
2015,1,Sunday,1:25:00 PM,Oakland,Cincinnati,13,33,,11,n
2015,2,Sunday,1:05:00 PM,Oakland,Baltimore,37,33,,18,n
2015,5,Sunday,1:25:00 PM,Oakland,Denver,10,16,,21,y
2015,8,Sunday,1:05:00 PM,Oakland,New York Jets,34,20,,16,n
2015,10,Sunday,1:05:00 PM,Oakland,Minnesota,14,30,,22,n
2015,13,Sunday,1:05:00 PM,Oakland,Kansas City,20,34,,19,y
2015,15,Sunday,1:05:00 PM,Oakland,Green Bay,20,30,,15,n
2015,16,Thursday,5:25:00 PM,Oakland,San Diego,23,20,,10,y
2011,3,Sunday,1:00:00 PM,Philadelphia,New York Giants,16,29,,2,y
2011,4,Sunday,1:00:00 PM,Philadelphia,San Francisco,23,24,,5,n
2011,8,Sunday,8:20:00 PM,Philadelphia,Dallas,34,7,,5,y
2011,9,Monday,8:30:00 PM,Philadelphia,Chicago,24,30,,2,n
2011,10,Sunday,1:00:00 PM,Philadelphia,Arizona,17,21,,2,n
2011,12,Sunday,4:15:00 PM,Philadelphia,New England,20,38,,2,n
2011,15,Sunday,4:15:00 PM,Philadelphia,New York Jets,45,19,,1,n
2011,17,Sunday,1:00:00 PM,Philadelphia,Washington,34,10,,2,y
2012,2,Sunday,1:00:00 PM,Philadelphia,Baltimore,24,23,,2,n
2012,4,Sunday,8:20:00 PM,Philadelphia,New York Giants,19,17,,6,y
2012,6,Sunday,1:00:00 PM,Philadelphia,Detroit,23,26,OT,1,n
2012,8,Sunday,1:00:00 PM,Philadelphia,Atlanta,17,30,,0,n
2012,10,Sunday,4:25:00 PM,Philadelphia,Dallas,23,38,,4,y
2012,12,Monday,8:30:00 PM,Philadelphia,Carolina,22,30,,1,n
2012,15,Thursday,8:20:00 PM,Philadelphia,Cincinnati,13,34,,1,n
2012,16,Sunday,1:00:00 PM,Philadelphia,Washington,20,27,,1,y
2013,2,Sunday,1:00:00 PM,Philadelphia,San Diego,30,33,,2,n
2013,3,Thursday,8:25:00 PM,Philadelphia,Kansas City,16,26,,2,n
2013,7,Sunday,1:00:00 PM,Philadelphia,Dallas,3,17,,1,y
2013,8,Sunday,1:00:00 PM,Philadelphia,New York Giants,7,15,,18,y
2013,11,Sunday,1:00:00 PM,Philadelphia,Washington,24,16,,3,y
2013,13,Sunday,1:00:00 PM,Philadelphia,Arizona,24,21,,3,n
2013,14,Sunday,1:00:00 PM,Philadelphia,Detroit,34,20,,10,n
2013,16,Sunday,8:30:00 PM,Philadelphia,Chicago,54,11,,12,n
2014,1,Sunday,1:00:00 PM,Philadelphia,Jacksonville,34,17,,3,n
2014,3,Sunday,1:00:00 PM,Philadelphia,Washington,37,34,,3,y
